ClaimId,PolicyHolderAge,PolicyTenureYears,ClaimAmount,IncidentHour,IncidentType,VehicleAge,NumPreviousClaims,PoliceReportFiled,WitnessPresent,AgentId,ClaimDescription,SubmissionDelayDays,IsFraudulent
CLM-000546,58,9.6,17192,6,Theft,18,4,1,0,AGT-660,Rear-end collision on highway,29,1
CLM-000547,40,3.4,35545,6,Vandalism,9,4,1,1,AGT-660,Break-in damage to driver door,26,0
CLM-000548,36,9.1,74919,4,Medical,2,5,1,0,AGT-152,,30,0
CLM-000549,46,14.1,1654,16,Medical,13,5,1,0,AGT-506,Hail damage to roof and hood,11,0
CLM-000550,73,12.9,62853,4,Collision,4,2,0,0,AGT-218,Single vehicle skid on wet road,21,0
CLM-000551,51,13.6,3104,16,Theft,,0,1,1,AGT-707,Rear-end collision on highway,33,0
CLM-000552,37,9.1,47242,3,Weather,11,2,1,1,AGT-927,Vehicle stolen from parking lot,42,1
CLM-000553,25,12,21972,6,Theft,10,4,0,0,AGT-936,Break-in damage to driver door,39,0
CLM-000554,39,18.2,73692,0,Medical,18,1,0,1,AGT-331,,19,0
CLM-000555,31,9.8,6396,14,Weather,17,2,0,0,AGT-433,Rear-end collision on highway,29,1
CLM-000556,74,2.7,41451,2,Fire,13,4,1,0,AGT-279,Single vehicle skid on wet road,33,1
CLM-000557,46,17.3,81295,2,Fire,6,0,1,1,AGT-941,Hail damage to roof and hood,43,0
CLM-000558,47,10.2,10189,16,Collision,12,1,1,0,AGT-448,Single vehicle skid on wet road,1,0
CLM-000559,51,12.6,50630,19,Vandalism,6,2,1,1,AGT-963,Single vehicle skid on wet road,30,1
CLM-000560,67,1.8,81238,2,Fire,3,2,0,0,AGT-624,Hail damage to roof and hood,38,1
CLM-000561,62,17.4,21187,20,Fire,4,0,1,1,AGT-720,,4,0
CLM-000562,46,19.7,8646,3,Theft,7,0,1,1,AGT-388,Single vehicle skid on wet road,18,0
CLM-000563,70,16.4,78724,17,Medical,15,0,1,1,AGT-630,,6,1
CLM-000564,69,19.1,69122,3,Theft,7,2,1,0,AGT-545,Hail damage to roof and hood,1,0
CLM-000565,28,15.5,31818,16,Theft,10,3,1,0,AGT-555,Break-in damage to driver door,29,1
CLM-000566,54,1.6,3543,19,Weather,4,4,1,1,AGT-851,,0,0
CLM-000567,25,14.8,2698,21,Weather,8,0,0,1,AGT-666,Single vehicle skid on wet road,17,0
CLM-000568,49,13.1,49454,15,Collision,13,3,0,1,AGT-534,,3,0
CLM-000569,52,10.6,50321,3,Fire,3,2,1,0,AGT-675,Hail damage to roof and hood,28,0
CLM-000570,73,13,79351,15,Theft,11,3,0,1,AGT-353,Vehicle stolen from parking lot,26,0
CLM-000571,42,12.2,7750,21,Fire,10,3,1,0,AGT-834,Single vehicle skid on wet road,44,1
CLM-000572,71,2.8,47945,14,Weather,9,0,1,1,AGT-630,Vehicle stolen from parking lot,33,0
CLM-000573,69,6.5,84572,17,Vandalism,11,1,1,0,AGT-623,,16,1
CLM-000574,38,8.9,70002,8,Theft,13,3,1,1,AGT-959,Break-in damage to driver door,42,1
CLM-000575,75,6.6,79102,22,Weather,14,3,1,0,AGT-268,Break-in damage to driver door,43,1
CLM-000576,77,10.2,27180,15,Collision,5,5,1,1,AGT-840,Hail damage to roof and hood,38,0
CLM-000577,78,2.9,46880,11,Theft,5,4,0,1,AGT-827,Single vehicle skid on wet road,0,1
CLM-000578,57,1,34666,12,Weather,3,2,0,1,AGT-856,Break-in damage to driver door,11,0
CLM-000579,22,8.4,78239,4,Medical,18,1,1,1,AGT-977,Rear-end collision on highway,15,0
CLM-000580,55,4.5,58301,6,Fire,0,5,1,1,AGT-766,,43,1
CLM-000581,63,1.4,83489,16,Fire,,1,1,1,AGT-472,,28,1
CLM-000582,42,6.4,20886,3,Vandalism,10,4,1,1,AGT-488,Rear-end collision on highway,44,0
CLM-000583,27,11.7,68169,23,Medical,14,1,0,1,AGT-159,Rear-end collision on highway,30,1
CLM-000584,63,5.1,27141,7,Theft,2,2,1,0,AGT-929,Rear-end collision on highway,39,0
CLM-000585,64,19.3,7308,18,Fire,,5,1,0,AGT-190,,16,0
CLM-000586,78,10.5,84621,20,Collision,12,4,0,1,AGT-751,Vehicle stolen from parking lot,7,0
CLM-000587,41,2.3,65256,20,Weather,,4,1,0,AGT-560,,10,1
CLM-000588,71,17.7,13963,7,Medical,4,1,1,1,AGT-729,Rear-end collision on highway,2,0
CLM-000589,47,14.2,40162,22,Vandalism,7,0,0,1,AGT-120,,1,0
CLM-000590,76,2.3,56031,1,Fire,4,5,1,0,AGT-460,Single vehicle skid on wet road,28,0
CLM-000591,29,9.7,70940,19,Vandalism,18,3,1,1,AGT-917,Vehicle stolen from parking lot,29,1
CLM-000592,28,4,20849,13,Fire,8,5,0,1,AGT-540,Rear-end collision on highway,33,1
CLM-000593,30,10.5,38921,3,Weather,13,4,1,1,AGT-278,Vehicle stolen from parking lot,27,0
CLM-000594,50,6.5,29827,16,Collision,12,4,1,1,AGT-276,Break-in damage to driver door,16,0
CLM-000595,41,5.8,39056,12,Theft,3,0,1,1,AGT-991,Single vehicle skid on wet road,41,0
CLM-000596,33,4.3,16162,18,Medical,1,3,1,1,AGT-564,Break-in damage to driver door,40,0
CLM-000597,34,1.4,45125,14,Vandalism,8,3,1,1,AGT-199,Hail damage to roof and hood,7,0
CLM-000598,64,1.7,39133,15,Collision,16,3,0,0,AGT-871,Rear-end collision on highway,23,0
CLM-000599,32,14.6,27006,15,Theft,6,5,1,0,AGT-470,Vehicle stolen from parking lot,6,1
CLM-000600,45,13.5,6727,3,Weather,15,0,1,1,AGT-641,Hail damage to roof and hood,29,1
